Variables,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,PX_OPEN,PX_LOW,PX_HIGH,EQY_WEIGHTED_AVG_PX,VWAP_VOLUME,VWAP_TURNOVER,VWAP_NUM_TRADES,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEUTRAL_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_PUBLICATION_COUNT
17/07/18,-0.0054,1504,42,91,1158,189.75,189.2,191.87,191.0001,4512655,861917625.2,18774,0.1118,158,59,30,2187
18/07/18,0.0054,1245,74,63,920,191.76,189.94,191.8,190.4674,4111687,783142276.1,17819,0.2169,109,61,20,2311
19/07/18,-0.0118,1367,58,119,991,189.79,189.76,192.55,191.765,6260552,1200554817,22382,0.0499,152,38,24,2190
20/07/18,0.0069,1499,98,79,1097,191.93,190.19,192.43,191.5415,8185711,1567903728,22620,0.1764,128,60,34,2153
23/07/18,-0.0027,694,26,31,538,190.64,189.57,191.96,191.0829,4643405,887275151.5,17555,0.2045,53,24,7,1275
24/07/18,0.0069,1409,89,77,994,192.2,192.06,193.66,192.8667,5493945,1059599310,21784,0.2009,121,61,14,2001
25/07/18,-0.0103,1591,99,118,1103,193,192.43,194.85,194.0439,5194578,1007975963,21964,0.1251,172,65,42,2086
26/07/18,-0.0063,1753,103,106,1206,194.6,193.61,195.95,194.5665,5493605,1068871324,22166,0.2064,143,73,20,2180
27/07/18,0.0129,1453,126,89,1003,195,190.12,195.16,192.0948,5863514,1126350679,27091,0.4113,95,82,15,2119
30/07/18,0.0078,980,69,59,675,191.9,189.07,192.2,190.0853,5166038,981987653,23332,0.4496,61,54,16,1588
31/07/18,-0.0224,2670,171,293,1838,190.31,189.35,192.14,191.4754,9954225,1905988916,40824,0.4645,162,148,27,2886
01/08/18,0.044,11715,1863,839,8225,199.02,197.33,201.76,200.18,15293644,3061481895,56896,0.8188,339,684,50,8626
02/08/18,0.03,6276,847,404,4535,200.38,200.35,208.38,205.7575,12830747,2640022904,59827,0.8099,242,469,58,4901
